joint_0_pos_rad,joint_1_pos_rad,joint_2_pos_rad,joint_3_pos_rad,joint_4_pos_rad,joint_5_pos_rad,joint_6_pos_rad
-0.05500897020101547,-0.1600419580936432,0.49548137187957764,-0.5817782282829285,0.5314023494720459,-0.9317803978919983,0.476065993309021
-0.0007199198007583618,-0.5245770215988159,0.7233089208602905,-0.6927481293678284,1.1297917366027832,-0.8068819046020508,0.5828033685684204
0.028535500168800354,-0.6201257705688477,0.5291954278945923,-0.5182908773422241,1.2342196702957153,-0.42226266860961914,0.22591495513916016
0.05037848651409149,-0.613107442855835,0.5405696630477905,-0.4123710095882416,1.1354001760482788,-0.3493703007698059,0.08359992504119873
0.09037214517593384,-0.5570205450057983,0.6260510683059692,-0.5277280807495117,0.9808686971664429,-0.5029524564743042,-0.022618234157562256
0.13393814861774445,-0.5385453701019287,0.6064571142196655,-0.5882691144943237,0.8257237076759338,-0.57442307472229,-0.10385823249816895
0.15944728255271912,-0.6001752614974976,0.6023913621902466,-0.5781232714653015,0.8707647323608398,-0.53763347864151,-0.05600816011428833
0.19766241312026978,-0.6614097952842712,0.43764758110046387,-0.5208812952041626,0.8812471032142639,-0.512446939945221,0.12670350074768066
0.22862273454666138,-0.7100846171379089,0.363156795501709,-0.5351467132568359,0.8893888592720032,-0.809615433216095,0.16537046432495117
0.2647986114025116,-0.7956634163856506,0.3168513774871826,-0.5201153755187988,0.9170441031455994,-0.9121322631835938,0.20419037342071533
0.3053979277610779,-0.871385931968689,0.3373713493347168,-0.47728317975997925,0.9190699458122253,-0.8485631942749023,0.20370638370513916
0.3440145254135132,-0.9238777160644531,0.33397233486175537,-0.4629163444042206,0.9099812507629395,-0.826302170753479,0.19364118576049805
0.38017627596855164,-0.964339554309845,0.2945675849914551,-0.4651186466217041,0.8996771574020386,-0.82281094789505,0.21314477920532227
0.41823506355285645,-1.002942442893982,0.23435842990875244,-0.46044567227363586,0.8627774715423584,-0.8013631105422974,0.239343523979187
0.45739680528640747,-1.0359251499176025,0.15482181310653687,-0.4470842480659485,0.7859797477722168,-0.8042091727256775,0.27285492420196533
0.5082005858421326,-1.0613971948623657,0.06122058629989624,-0.42300209403038025,0.6326652765274048,-0.797776460647583,0.30231213569641113
0.5912310481071472,-1.0674697160720825,-0.0745387077331543,-0.40224766731262207,0.3344322144985199,-0.7698183059692383,0.3494065999984741
0.720533549785614,-1.0700167417526245,-0.2201365828514099,-0.39335933327674866,-0.09934715926647186,-0.7084453701972961,0.38763320446014404
0.9060418009757996,-1.072101354598999,-0.34547513723373413,-0.4119895100593567,-0.6335005760192871,-0.6355719566345215,0.3844345808029175
1.082059383392334,-1.0837815999984741,-0.4125104248523712,-0.4176953136920929,-1.0690128803253174,-0.586118221282959,0.3203943967819214
1.1401557922363281,-1.1371848583221436,-0.38433778285980225,-0.38177481293678284,-1.1044970750808716,-0.6617662906646729,0.15908104181289673
0.988599956035614,-0.9788594245910645,-0.43943458795547485,-0.11457127332687378,-0.7564103603363037,-0.6794006824493408,-0.12342315912246704
0.7741889953613281,-0.6289287209510803,-0.7731367349624634,0.19141894578933716,-0.6667611598968506,-0.36363810300827026,-0.37609052658081055
